datetime,field1,field2,field3,field4,field5,field6
2017-03-29 17:43:57,0.45,23,17,33,77.6752689,12.925505900000001
2017-03-29 17:48:15,0.45,23,17,33,77.67610429999999,12.926099
2017-03-29 17:52:46,0.48,23,18,33,77.677769,12.9267541
2017-03-29 17:56:51,0.49,23,18,33,77.68124990000001,12.928618400000001
2017-03-29 18:02:25,0.5,23,18,33,77.682916,12.929225500000001
2017-03-29 18:06:46,0.5,23,18,33,77.6898324,12.9342931
2017-03-29 18:10:07,0.52,23,18,33,77.69265290000001,12.936999
2017-03-29 18:15:36,0.53,24,18,33,77.69328320000001,12.9399169
2017-03-29 18:21:43,0.54,24,18,33,77.6880254,12.9389656
2017-03-29 18:26:11,0.58,24,19,33,77.6906574,12.9361709
2017-03-29 18:32:44,0.58,25,19,33,77.6910741,12.9399414
2017-03-29 18:37:25,0.6,25,19,33,77.6898243,12.9395269
2017-03-29 18:42:54,0.6,25,19,33,77.68971409999999,12.9400035
2017-03-29 18:46:24,0.6,26,19,33,77.6896146,12.9403939
2017-03-29 18:53:10,0.59,27,19,33,77.6902061,12.9406009
2017-03-29 18:58:01,0.57,27,19,33,77.6912348,12.9419302
2017-03-30 08:07:15,0.5,25,99,28,77.69111749999998,12.942037
2017-03-30 08:11:19,0.5,25,99,28,77.69111749999998,12.942037
2017-03-30 08:14:23,0.44,25,99,28,77.69111749999998,12.942037
2017-03-30 08:18:44,0.42,25,99,28,77.69111749999998,12.942037
2017-03-30 08:23:02,0.39,25,99,28,77.6891945,12.9427262
2017-03-30 08:29:06,0.44,26,99,28,77.6915534,12.941664999999999
2017-03-30 08:33:19,0.5,26,99,28,77.69035670000001,12.9409812
2017-03-30 08:38:22,0.51,26,99,28,77.6896712,12.940038699999999
2017-03-30 08:43:44,0.54,27,99,28,77.6896782,12.9396761
2017-03-30 08:48:57,0.57,27,99,28,77.6899824,12.9395748
2017-03-30 08:54:02,0.57,27,99,28,77.6896645,12.939410699999998
2017-03-30 08:59:34,0.57,27,98,28,77.6930251,12.939978
2017-03-30 09:04:28,0.67,28,96,28,77.6953155,12.939862
2017-03-30 09:08:56,0.7,28,97,28,77.6976205,12.9439129
2017-03-30 09:14:07,0.7,28,95,28,77.70018,12.9528644
2017-03-30 09:19:35,0.73,28,95,28,77.7009083,12.955496499999999
2017-03-30 09:24:45,0.7,28,93,28,77.7014322,12.959194199999999
2017-03-30 09:28:37,0.75,26,88,28,77.7015217,12.9599933
2017-03-30 09:33:20,0.79,25,84,28,77.701902025035,12.956887165483133
2017-03-30 09:38:12,0.79,26,79,28,77.701902025035,12.956887165483133
2017-03-30 09:44:43,0.79,26,73,28,77.701902025035,12.956887165483133
2017-03-30 09:49:23,0.79,24,65,28,77.701902025035,12.956887165483133
2017-03-30 09:53:56,0.75,24,60,28,77.7010277,12.9558867
2017-03-30 09:59:01,0.73,25,57,28,77.69985229999999,12.951584599999999
2017-03-30 10:05:49,0.71,25,55,28,77.6974348,12.9430574
2017-03-30 13:15:05,0.51,18,16,35,77.6912026,12.9353882
2017-03-30 13:19:21,0.51,18,16,35,77.6835887,12.9292046
2017-03-30 13:23:05,0.51,18,16,35,77.6780765,12.9265295
2017-03-30 13:30:33,0.5,18,16,35,77.6750421,12.924737
2017-03-30 13:35:14,0.5,17,15,35,77.6759816,12.9253556
2017-03-30 13:39:43,0.5,17,16,35,77.67775340000001,12.9267195
