created_at,entry_id,field1,field2,field3,field4,field5,field6
2017-04-06 07:30:00 UTC,179,0.45,44.69,33.77,35,77.63748709999999,12.925148
2017-04-06 07:45:00 UTC,180,0.47,44.69,34.53,31,77.64011500000001,12.923829099999999
2017-04-06 08:00:00 UTC,181,0.47,48.11,33.34,32,77.6458307,12.9245381
2017-04-06 08:15:00 UTC,182,0.44,54.94,31.73,32,77.652599,12.9242673
2017-04-06 08:30:00 UTC,183,0.42,54.94,30.05,34,77.6564075,12.923387
2017-04-06 08:45:00 UTC,184,0.42,54.94,29.86,31,77.6608443,12.921877
2017-04-06 09:00:00 UTC,185,0.43,52.09,29.07,30,77.6617824,12.9216405
2017-04-06 09:15:00 UTC,186,0.43,46.39,27.35,30,77.6623187,12.921501800000001
2017-04-06 09:30:00 UTC,187,0.43,46.39,25.75,31,77.6630196,12.921303199999999
2017-04-06 12:45:00 UTC,188,,3.95,29.09,24,77.66337109999999,12.9212221
2017-04-06 13:00:00 UTC,189,,0.0,36.16,23,77.66516159999999,12.9208757
2017-04-06 13:15:00 UTC,190,1.09,0.0,45.2,23,77.6681559,12.922248
2017-04-06 13:30:00 UTC,191,1.81,0.0,55.99,23,77.6705315,12.9233966
2017-04-06 13:45:00 UTC,192,1.93,0.0,56.11,27,77.67103399812622,12.923647343820093
2017-04-06 14:00:00 UTC,193,2.35,0.0,53.52,24,77.67103399812622,12.923647343820093
2017-04-06 14:15:00 UTC,194,2.53,0.0,50.09,26,77.67103399812622,12.923647343820093
2017-04-06 14:30:00 UTC,195,2.64,0.0,50.24,23,77.67103399812622,12.923647343820093
2017-03-27 02:37:15 UTC,196,0.57,42,48,28,77.53585369999998,12.9331591
2017-03-27 02:41:19 UTC,197,0.57,42,48,28,77.53585369999998,12.9331591
2017-03-27 02:44:23 UTC,198,0.57,41,47,28,77.5370419,12.9335261
2017-03-27 02:48:44 UTC,199,0.57,41,46,28,77.5415656,12.932288
2017-03-27 02:53:02 UTC,200,0.57,41,46,28,77.5455963,12.9311585
2017-03-27 02:59:06 UTC,201,0.58,41,43,28,77.53668359999999,12.9342149
2017-03-27 03:03:19 UTC,202,0.58,40,43,28,77.6208559,12.927313999999999
2017-03-27 03:08:22 UTC,203,0.54,40,42,28,77.6215273,12.9273019
2017-03-27 03:13:44 UTC,204,0.54,40,41,28,77.6215535,12.927409800000001
2017-03-27 03:18:57 UTC,205,0.53,40,41,28,77.62162140000001,12.926589
2017-03-27 03:24:02 UTC,206,0.5,40,41,28,77.6214825,12.9274323
2017-03-27 03:29:34 UTC,207,0.47,38,39,28,77.6215464,12.9288756
2017-03-27 03:34:28 UTC,208,0.44,37,39,28,77.6223775,12.9304763
2017-03-27 03:38:56 UTC,209,0.48,37,39,28,77.6225119,12.9312178
2017-03-27 03:44:07 UTC,210,0.4,35,39,29,77.6241336,12.935066699999998
2017-03-27 03:49:35 UTC,211,0.36,32,36,29,77.62416479999999,12.935111099999999
2017-03-27 03:54:45 UTC,212,0.36,33,36,29,77.626099,12.936701300000001
2017-03-27 03:58:37 UTC,213,0.36,30,33,29,77.6281139,12.9359064
2017-03-27 04:03:20 UTC,214,0.37,28,33,29,77.6333144,12.929896699999999
2017-03-27 04:08:12 UTC,215,0.37,28,32,29,77.63748709999999,12.925148
2017-03-27 04:14:43 UTC,216,0.37,25,29,29,77.64011500000001,12.923829099999999
2017-03-27 04:19:23 UTC,217,0.37,25,27,29,77.6458307,12.9245381
2017-03-27 04:23:56 UTC,218,0.37,25,25,29,77.652599,12.9242673
2017-03-27 04:29:01 UTC,219,0.4,25,23,30,77.6564075,12.923387
2017-03-27 04:35:49 UTC,220,0.4,25,22,30,77.6608443,12.921877
2017-03-27 07:45:05 UTC,221,0.5,24,13,35,77.6617824,12.9216405
2017-03-27 07:49:21 UTC,222,0.5,24,13,35,77.6623187,12.921501800000001
2017-03-27 07:53:05 UTC,223,0.49,24,13,35,77.6630196,12.921303199999999
2017-03-27 08:00:33 UTC,224,0.47,24,12,35,77.66337109999999,12.9212221
2017-03-27 08:05:14 UTC,225,0.47,21,12,35,77.66516159999999,12.9208757
2017-03-27 08:09:43 UTC,226,0.47,21,12,35,77.6681559,12.922248
2017-03-27 08:15:16 UTC,227,0.47,21,12,35,77.6705315,12.9233966
2017-03-27 08:18:02 UTC,228,0.5,21,12,35,77.67103399812622,12.923647343820093
2017-03-27 08:22:54 UTC,229,0.53,21,12,35,77.67103399812622,12.923647343820093
2017-03-27 08:25:30 UTC,230,0.53,20,12,35,77.67103399812622,12.923647343820093
2017-03-27 08:30:32 UTC,231,0.53,20,12,35,77.67103399812622,12.923647343820093
2017-03-27 08:34:40 UTC,232,0.55,20,12,35,77.67156640000002,12.923847300000002
2017-03-27 08:39:23 UTC,233,0.55,17,12,35,77.6724427,12.9242174
2017-03-27 08:43:56 UTC,234,0.55,17,12,35,77.6734438,12.9246415
2017-03-27 08:49:01 UTC,235,0.58,17,12,35,77.67357779999999,12.9247681
2017-03-27 08:53:23 UTC,236,0.6,17,12,35,77.673716,12.9247294
2017-03-27 08:58:11 UTC,237,0.6,17,12,35,77.6752689,12.925505900000001
2017-03-27 09:03:32 UTC,238,0.61,17,12,35,77.67610429999999,12.926099
2017-03-27 09:08:10 UTC,239,0.56,16,12,35,77.677769,12.9267541
2017-03-27 09:12:28 UTC,240,0.53,16,12,35,77.68124990000001,12.928618400000001
2017-03-27 09:18:35 UTC,241,0.45,16,12,35,77.682916,12.929225500000001
2017-03-27 09:23:44 UTC,242,0.43,16,12,35,77.6898324,12.9342931
2017-03-27 11:26:13 UTC,243,0.54,14,10,32,77.69265290000001,12.936999
2017-03-27 11:31:04 UTC,244,0.54,15,10,32,77.69328320000001,12.9399169
2017-03-27 11:36:34 UTC,245,0.53,16,10,32,77.6880254,12.9389656
2017-03-27 11:41:15 UTC,246,0.54,16,10,32,77.6906574,12.9361709
2017-03-27 11:47:40 UTC,247,0.51,17,10,32,77.6910741,12.9399414
2017-03-27 11:53:03 UTC,248,0.49,17,10,32,77.6898243,12.9395269
2017-03-27 11:57:09 UTC,249,0.46,17,10,32,77.68971409999999,12.9400035
2017-03-27 12:03:13 UTC,250,0.46,18,10,32,77.6896146,12.9403939
2017-03-27 12:08:25 UTC,251,0.46,20,10,32,77.6902061,12.9406009
2017-03-27 12:13:57 UTC,252,0.47,22,10,32,77.6912348,12.9419302
2017-03-27 12:18:15 UTC,253,0.51,22,10,32,77.69111749999998,12.942037
2017-03-27 12:22:46 UTC,254,0.5,22,10,32,77.69111749999998,12.942037
2017-03-27 12:26:51 UTC,255,0.5,22,11,31,77.69111749999998,12.942037
2017-03-27 12:32:25 UTC,256,0.5,22,11,31,77.69111749999998,12.942037
2017-03-27 12:36:46 UTC,257,0.5,22,11,31,77.6891945,12.9427262
2017-03-27 12:40:07 UTC,258,0.53,22,11,31,77.6915534,12.941664999999999
2017-03-27 12:45:36 UTC,259,0.53,24,12,31,77.69035670000001,12.9409812
2017-03-27 12:51:43 UTC,260,0.53,24,12,31,77.6896712,12.940038699999999
2017-03-27 12:56:11 UTC,261,0.54,25,12,31,77.6896782,12.9396761
2017-03-27 13:02:44 UTC,262,0.54,26,12,31,77.6899824,12.9395748
2017-03-27 13:07:25 UTC,263,0.54,28,12,31,77.6896645,12.939410699999998
2017-03-27 13:12:54 UTC,264,0.54,28,12,31,77.6930251,12.939978
2017-03-27 13:16:24 UTC,265,0.53,29,12,31,77.6953155,12.939862
2017-03-27 13:23:10 UTC,266,0.52,29,13,31,77.6976205,12.9439129
2017-03-27 13:28:01 UTC,267,0.5,29,13,31,77.70018,12.9528644
2017-03-28 02:37:15 UTC,268,0.53,29,55,28,77.7009083,12.955496499999999
2017-03-28 02:41:19 UTC,269,0.53,29,55,28,77.7014322,12.959194199999999
2017-03-28 02:44:23 UTC,270,0.53,28,53,28,77.7015217,12.9599933
2017-03-28 02:48:44 UTC,271,0.54,29,53,28,77.701902025035,12.956887165483133
2017-03-28 02:53:02 UTC,272,0.55,29,53,28,77.701902025035,12.956887165483133
2017-03-28 02:59:06 UTC,273,0.55,26,52,28,77.701902025035,12.956887165483133
2017-03-28 03:03:19 UTC,274,0.54,27,52,28,77.701902025035,12.956887165483133
2017-03-28 03:08:22 UTC,275,0.53,25,51,28,77.7010277,12.9558867
2017-03-28 03:13:44 UTC,276,0.53,25,50,28,77.69985229999999,12.951584599999999
2017-03-28 03:18:57 UTC,277,0.53,24,49,28,77.6974348,12.9430574
2017-03-28 03:24:02 UTC,278,0.53,24,47,29,77.6912026,12.9353882
2017-03-28 03:29:34 UTC,279,0.48,23,47,29,77.6835887,12.9292046
2017-03-28 03:34:28 UTC,280,0.47,24,46,29,77.6780765,12.9265295
2017-03-28 03:38:56 UTC,281,0.46,21,45,29,77.6750421,12.924737
2017-03-28 03:44:07 UTC,282,0.44,20,44,29,77.6759816,12.9253556
2017-03-28 03:49:35 UTC,283,0.4,20,44,29,77.67775340000001,12.9267195
2017-03-28 03:54:45 UTC,284,0.44,10,44,29,77.6819974,12.9286025
2017-03-28 03:58:37 UTC,285,0.38,19,44,29,77.6901162,12.9347633
2017-03-28 04:03:20 UTC,286,0.38,19,43,29,77.6881316,12.9360979
2017-03-28 04:08:12 UTC,287,0.38,18,43,29,77.6888373,12.939214100000001
2017-03-28 04:14:43 UTC,288,0.38,17,42,29,77.6940079,12.9400314
2017-03-28 04:19:23 UTC,289,0.36,17,42,29,77.6951392,12.9391942
2017-03-28 04:23:56 UTC,290,0.35,15,42,29,77.695725,12.940579099999999
2017-03-28 04:29:01 UTC,291,0.35,16,40,29,77.6956848,12.9410673
2017-03-28 04:35:49 UTC,292,0.35,15,38,29,77.6956786,12.941067199999999
2017-03-28 07:45:05 UTC,293,0.49,17,11,34,77.69577109999999,12.941087
2017-03-28 07:49:21 UTC,294,0.49,17,11,34,77.6952854,12.9398224
2017-03-28 07:53:05 UTC,295,0.49,17,11,34,77.6948074,12.9394668
2017-03-28 08:00:33 UTC,296,0.5,15,11,34,77.69217859999999,12.9401382
2017-03-28 08:05:14 UTC,297,0.49,14,11,34,77.68953590000001,12.9394491
2017-03-28 08:09:43 UTC,298,0.5,14,11,34,77.6881719,12.936427199999999
2017-03-28 08:15:16 UTC,299,0.5,13,11,34,77.6916884,12.9362064
2017-03-28 08:18:02 UTC,300,0.5,14,11,34,77.69169790000001,12.9368921
2017-03-28 08:22:54 UTC,301,0.5,12,11,34,77.69169790000001,12.9368921
2017-03-28 08:25:30 UTC,302,0.5,12,11,34,77.69169790000001,12.9368921
2017-03-28 08:30:32 UTC,303,0.5,12,12,34,77.69169790000001,12.9368921
2017-03-28 08:34:40 UTC,304,0.5,13,12,34,77.6917715,12.9369229
2017-03-28 08:39:23 UTC,305,0.51,13,12,34,77.6908509,12.9307978
2017-03-28 08:43:56 UTC,306,0.51,12,12,34,77.6700629,12.9351212
2017-03-28 08:49:01 UTC,307,0.51,14,12,34,77.6862014,12.9228305
2017-03-28 08:53:23 UTC,308,0.48,15,10,35,77.65323599999999,12.923988699999999
2017-03-28 08:58:11 UTC,309,0.47,16,10,35,77.6512985,12.9243469
2017-03-28 09:03:32 UTC,310,0.47,17,10,35,77.64772690000001,12.9244754
2017-03-28 09:08:10 UTC,311,0.45,18,10,35,77.6309531,12.9242728
